,basy_zyzd_jbbm_for_str_3,basy_yydj,basy_ssjczbm1_for_str_3,HAOCAI-3-3-E,JCJY-3-3-E,YP-3-3-E,ZFY-3-3-E,记录条数-3-3
2054,C16,5,38.,1064.5654166666666,3489.8875000000003,5515.942083333334,15037.808750000002,24
2057,C16,5,43.,16454.92794871795,8765.712863247863,7759.08482905983,47672.92824786325,234
2058,C16,5,44.,1336.4443410852714,4650.167054263567,3701.327441860465,14378.773333333333,129
2059,C16,5,45.,1791.350625,4682.721875,1891.9446875,11612.4078125,32
2064,C16,5,54.,1775.8954545454544,4074.253181818182,3178.511818181818,14115.307272727274,22
2071,C16,5,99.,963.8369565217391,4230.194347826087,4289.789565217391,14080.538695652174,23
2072,C16,6,,482.9491419141914,4306.820594059405,3235.9769306930693,10810.392244224422,303
2078,C16,6,38.,1354.5181914893617,4534.600319148936,5266.039893617021,15275.30978723404,94
2082,C16,6,42.,17763.913725490194,8835.81274509804,8451.045098039216,48598.18392156863,51
2083,C16,6,43.,21933.831740654205,10649.806051401869,10667.439234813084,63790.049433411215,1712
2084,C16,6,44.,2351.6538213399504,6129.015905707196,4245.6906203473945,17926.42789081886,403
2085,C16,6,45.,1087.587441860465,6229.638527131783,3452.3626356589148,14879.851085271319,129
2091,C16,6,54.,6563.103492063492,6014.796825396826,7673.945952380952,30245.577063492063,126
2102,C16,6,96.,1577.0166666666667,7230.753809523809,6841.385714285714,23714.49857142857,21
2104,C16,6,99.,2053.2886919831226,5715.182109704641,5433.99476793249,18377.130084388187,237
2140,C17,6,45.,10594.008367346938,9122.118979591836,7800.321020408162,41315.2893877551,98
2144,C17,6,52.,22047.256617647057,15766.805588235295,23725.21088235294,94538.87073529411,68
2167,C18,2,45.,4237.1088,4059.8808000000004,4971.786,20635.4824,25
2171,C18,3,,444.3855555555555,3004.0977777777775,4536.651296296296,10934.33111111111,54
2172,C18,3,17.,11174.816216216217,7909.538918918919,7073.011351351351,39246.22918918919,37
2179,C18,3,45.,7117.0098319327735,6299.130672268908,6276.664789915966,29555.225714285712,119
2193,C18,4,17.,7514.6015217391305,6372.930869565217,9979.476086956522,46723.489347826086,46
2196,C18,4,45.,6919.632666666667,7252.374000000001,8016.265333333334,39305.03355555556,45
2204,C18,5,,527.1898630136986,3419.989452054794,4406.53698630137,11845.084657534248,73
2206,C18,5,17.,13160.0876,8511.0051,7010.2598499999995,42349.4653,200
2214,C18,5,45.,6643.706310679611,6974.602783171522,6848.7037540453075,31751.970323624595,309
2226,C18,6,,506.2051111111111,3792.5788888888887,3753.161955555556,11041.589555555554,225
2229,C18,6,17.,16124.610743348983,9675.275978090765,9353.191549295776,53745.14627543036,1278
2233,C18,6,38.,1185.26671875,4515.2309375,6623.32390625,17143.0840625,64
2238,C18,6,44.,2337.3078260869565,5469.718260869566,4534.124347826087,17053.694782608694,23
2239,C18,6,45.,9895.30078125,9290.03892578125,8314.071728515624,41448.48491210937,1024
2240,C18,6,46.,5474.086338028169,6775.108732394366,7721.844366197182,30190.544225352114,71
2242,C18,6,48.,17113.68642857143,9215.535428571427,8525.97757142857,53158.209142857144,70
2247,C18,6,54.,4798.629850746269,7520.904776119403,7640.165820895522,29529.492686567166,67
2262,C18,6,99.,1595.2058461538463,5083.076820512821,5554.256205128205,16727.496666666666,195
2292,C19,6,48.,15844.434725274727,10770.097802197803,8980.227472527473,53187.894065934066,91
2300,C19,6,99.,846.3676190476191,5977.261904761905,4234.072857142857,15294.120476190476,21
2313,C20,1,99.,7122.620909090909,2809.8636363636365,6140.529090909091,23680.322727272727,33
2321,C20,3,,454.046935483871,2592.8983870967745,4771.219516129032,10576.965806451613,62
2328,C20,3,48.,10047.357564102564,6496.758461538461,6191.514743589744,35223.31262820512,156
2342,C20,4,48.,7594.987462686567,7215.589402985074,8969.195074626865,44297.266119402986,67
2348,C20,5,,402.4941304347826,3166.075869565217,3101.951195652174,10349.558913043478,92
2356,C20,5,45.,1117.7652857142857,4308.414285714286,1728.5518571428572,9932.492714285714,70
2357,C20,5,46.,3956.4703703703703,5552.463703703704,5819.904074074074,24641.342962962965,27
2358,C20,5,48.,11008.570018214938,7764.902331511839,6697.124517304189,38033.97340619307,549
2362,C20,5,54.,9182.81962962963,6386.556296296296,5732.746296296296,32448.921851851854,27
2369,C20,5,99.,884.2163636363638,3523.8375,3885.486590909091,10881.494545454545,44
2370,C20,6,,579.3199588477366,4158.545390946502,3437.277119341564,11542.070864197533,243
2373,C20,6,17.,13272.97794117647,8186.519411764705,8759.029411764706,45192.727352941176,34
2377,C20,6,38.,1172.4702702702702,4297.665945945946,5947.9683783783785,16226.235270270268,74
2382,C20,6,45.,1165.13387283237,6032.298323699422,2837.2679190751446,13897.925202312139,173
2383,C20,6,46.,5049.2825892857145,7633.532767857143,6121.345714285714,28318.651517857146,112
2384,C20,6,48.,14804.146286795625,9338.646400336418,7857.430853658537,48627.53088730025,2378
2388,C20,6,54.,8832.824285714287,7587.111111111111,8694.119999999999,38103.4473015873,63
2397,C20,6,92.,1530.1163636363635,9414.043333333333,4382.6303030303025,39466.17424242424,33
2398,C20,6,93.,1047.4309090909092,5556.2072727272725,7121.54,19387.44318181818,22
2400,C20,6,99.,1052.0454325259516,4264.095986159169,4409.253044982699,12785.935743944638,289
2418,C21,6,48.,9817.747931034482,8685.628620689655,6737.894482758621,39430.011551724136,58
2422,C22,1,,508.0012903225806,2063.0967741935483,5824.36935483871,16767.518064516127,31
2432,C22,1,92.,2619.858620689655,1567.2758620689656,22587.023448275864,32056.093103448275,29
2433,C22,1,99.,8717.65543478261,2811.041304347826,7994.800217391305,28473.575217391302,92
2442,C22,3,,755.3866101694915,3663.7634745762716,4984.450847457627,13206.141440677966,118
2445,C22,3,39.,6174.64619047619,3298.752380952381,4728.511428571429,23713.16857142857,21
2449,C22,3,50.,3615.9741379310344,5418.173793103449,4709.289310344828,22569.451379310343,29
2461,C22,4,,393.3825925925926,2884.4333333333334,3588.9474074074074,11526.493333333334,27
2465,C22,4,39.,426.80212328767124,1732.999589041096,3912.2573972602736,23631.075958904108,146
2468,C22,4,50.,1564.8164705882352,5156.7731372549015,5358.863725490196,32438.08980392157,51
2472,C22,4,88.,2857.21,2630.222222222222,5236.810555555556,16798.478888888887,36
2475,C22,5,,406.8368686868687,3549.8525757575762,3809.8257575757575,10422.88398989899,198
2480,C22,5,39.,7852.745043478261,4260.219478260869,5246.5632173913045,26134.156956521736,115
2485,C22,5,50.,6761.841086956521,7316.874202898551,6341.812173913043,32761.079492753623,138
2487,C22,5,54.,620.2116438356164,3411.550684931507,5335.525616438356,13421.643424657534,73
2496,C22,5,99.,1809.5407017543862,3844.173157894737,4917.163157894736,15593.564385964912,57
2497,C22,6,,482.1730627871363,3950.965712098009,4116.813644716693,11425.089923430322,653
2500,C22,6,17.,930.1124137931034,4243.329655172413,6812.772068965518,15922.942413793104,29
2504,C22,6,34.,738.4851724137931,5233.075172413793,5950.054137931034,16704.14172413793,29
2506,C22,6,38.,2888.2687755102043,6166.7387755102045,8484.402448979592,25594.891428571427,49
2507,C22,6,39.,7407.250181058495,4369.614700557103,5290.347674094707,27760.70614902507,1436
2512,C22,6,44.,3373.458085106383,4990.941489361702,6813.477659574468,23382.27680851064,47
2513,C22,6,45.,904.9941666666667,5909.020416666666,3504.1650000000004,13191.955833333333,24
2516,C22,6,50.,12164.216070959264,8132.692654402103,8320.115157687253,46546.396806833116,1522
2517,C22,6,51.,5919.876082474227,7362.052268041237,7121.19350515464,28176.58144329897,97
2519,C22,6,54.,977.9603508771929,5243.318114035088,6982.0672807017545,18753.533640350877,228
2526,C22,6,88.,8230.344133333334,4233.719599999999,5360.4284,25624.969066666665,75
2529,C22,6,93.,440.3157142857143,5392.900476190476,6072.135714285714,16292.533333333335,21
2532,C22,6,99.,4942.155,4648.9397767857145,5577.410357142857,22772.84901785714,224
2555,C23,5,51.,3392.7658333333334,4793.293333333333,4270.56,20118.474583333333,24
2558,C23,6,,922.3475757575758,3926.5739393939393,5637.832121212121,14147.607575757575,33
2566,C23,6,50.,10500.416268656716,8014.308656716418,9108.903134328359,49670.56537313433,67
2567,C23,6,51.,7809.0566336633665,8822.170198019801,10005.766732673268,38852.03485148515,101
2606,C24,5,,379.398125,3216.3575,4955.4821875,12126.3515625,32
2614,C24,5,51.,6298.309032258064,5385.544516129033,6515.483548387097,25026.537741935485,31
2621,C24,6,,598.283,4046.9201249999996,5627.161375000001,14062.73675,80
2630,C24,6,50.,10064.144909090908,10387.700818181818,12163.986454545455,53610.117909090906,110
2631,C24,6,51.,8247.118024691357,7338.7116460905345,8173.2674074074075,33148.16588477366,243
2632,C24,6,52.,24386.779856115107,15176.834316546765,23283.503525179858,95706.51611510791,139
2633,C24,6,54.,2126.8914285714286,4546.203142857143,8576.932571428571,23525.84257142857,35
2644,C24,6,99.,668.2523076923078,4962.032692307693,5912.567692307693,15399.602307692307,26
2658,C25,1,92.,3665.0325,2272.483333333333,27585.260416666668,39981.05125,24
2659,C25,1,99.,7163.152352941176,2638.823529411765,6685.22294117647,25446.066470588237,34
2667,C25,3,,553.1560714285714,3703.613214285714,5920.827857142857,13862.207142857142,28
2686,C25,5,,373.5755357142857,3471.195357142857,4083.880892857143,10655.609464285715,56
2696,C25,5,52.,12351.634444444444,12810.50148148148,13554.724074074074,57934.34851851851,27
2704,C25,6,,657.9255721393035,4160.578208955224,4403.046915422886,12439.770199004975,201
2711,C25,6,38.,1655.6511111111113,4651.423611111111,9793.4875,22977.942222222224,36
