,basy_zyzd_jbbm_for_str_4,basy_yydj,basy_ssjczbm1_for_str_4,HAOCAI-4-4-E,JCJY-4-4-E,YP-4-4-E,ZFY-4-4-E,记录条数-4-4
2682,C15.,5,44.1,477.5451304347826,3895.634347826087,2107.442347826087,8707.293391304347,115
2684,C15.,5,45.1,727.8342424242423,3694.6015151515153,2313.9369696969698,10437.774545454546,33
2709,C15.,5,99.2,1068.7092156862745,4248.83137254902,3509.541960784314,11264.581176470589,51
2713,C15.,6,,449.3059722222222,3868.981388888889,2571.906027777778,9040.250638888889,360
2720,C15.,6,33.2,756.1061538461538,6250.119230769231,2206.145,12057.382307692307,26
2727,C15.,6,38.9,1696.6312,5010.2838,5678.0157,17453.2413,100
2733,C15.,6,42.2,750.4270535714286,5372.629642857143,2503.2441964285713,12239.532589285713,112
2734,C15.,6,42.3,7066.616964285714,6447.670297619048,4172.220357142857,26336.25994047619,168
2735,C15.,6,42.4,24982.437740336965,11973.072269573835,14469.858582755203,78277.8042814668,1009
2737,C15.,6,42.8,6468.9746610169495,4053.238220338983,3639.103559322034,18391.546864406777,118
2739,C15.,6,43.1,1800.901282051282,5240.285384615385,6871.17,23575.175384615384,39
2742,C15.,6,44.1,1080.446592178771,5101.2667039106145,3416.4553631284916,13136.454804469275,179
2745,C15.,6,45.1,884.2351428571428,6584.388714285715,3380.2755,14244.614571428572,140
2770,C15.,6,92.2,1808.484,9976.24,6773.9116,36809.48,25
2781,C15.,6,99.2,1062.5247844827586,5029.512370689655,4090.3991379310346,14020.690301724138,232
2784,C16.,1,,379.2890476190476,2241.8333333333335,4601.557142857143,11170.175238095238,21
2797,C16.,1,99.2,8094.9369565217385,3381.608695652174,9622.482608695653,30400.354347826087,23
2808,C16.,3,,438.2981081081081,2444.561081081081,4174.604324324325,9819.558108108109,74
2821,C16.,3,43.7,15663.065454545456,6783.836363636364,7264.994545454546,42391.69212121212,33
2824,C16.,3,44.1,649.015,3534.195833333333,3089.4179166666668,9647.97625,48
2870,C16.,5,,406.7250537634409,3055.1617204301074,3364.7596774193553,9448.49010752688,93
2875,C16.,5,38.9,1064.5654166666666,3489.8875000000003,5515.942083333334,15037.808750000002,24
2882,C16.,5,43.5,16736.827692307692,8912.80346153846,7755.08076923077,46581.223461538466,26
2884,C16.,5,43.7,17775.42987654321,8796.33086419753,7878.855432098766,49858.4138271605,81
2886,C16.,5,43.9,16369.010853658536,8954.446585365853,7780.73731707317,48671.82426829268,82
2887,C16.,5,44.1,612.4597321428572,4319.739821428571,2706.4147321428572,10741.888125,112
2890,C16.,5,45.1,502.1769230769231,4151.284615384615,1712.725,8907.849615384615,26
2915,C16.,6,,482.9491419141914,4306.820594059405,3235.9769306930693,10810.392244224422,303
2923,C16.,6,38.9,1179.9498924731183,4405.397096774193,5312.534193548387,14772.69677419355,93
2931,C16.,6,42.4,25947.35785714286,11624.346785714286,12458.459642857142,70325.08178571428,28
2936,C16.,6,43.4,8537.100240963855,6544.880301204818,3893.5506626506026,28318.327168674696,166
2937,C16.,6,43.5,19729.494807692306,10711.58076923077,10950.416666666666,63888.19217948718,156
2938,C16.,6,43.6,16430.675853658537,9845.761951219512,12419.808048780487,62678.607560975615,82
2939,C16.,6,43.7,25111.943660322107,10919.90467057101,11432.379106881404,68309.9613909224,683
2940,C16.,6,43.8,19152.781454545453,10353.885272727272,8267.042454545455,54772.09081818182,110
2941,C16.,6,43.9,24463.014940944882,11876.345669291339,12078.842007874016,72004.37848425198,508
2943,C16.,6,44.1,740.2765042979943,5573.27664756447,3001.6738395415473,12622.406332378223,349
2945,C16.,6,44.3,14207.676923076924,10163.885384615383,12736.394102564102,53907.251025641024,39
2948,C16.,6,45.1,682.0687826086956,6224.203652173914,3475.463652173913,13923.389217391305,115
2966,C16.,6,54.2,8585.122888888889,6264.072666666667,6818.874444444444,31116.08311111111,45
2969,C16.,6,54.9,5238.744677419355,5345.839032258064,7649.865806451613,27249.44564516129,62
2994,C16.,6,99.2,2233.819793814433,5919.78824742268,5388.845567010309,18516.968711340207,194
3053,C17.,6,45.6,13273.329,9984.928166666667,8570.734,47432.99516666667,60
3068,C17.,6,52.7,22269.2425,15950.92828125,24478.29296875,96432.27578125,64
3109,C18.,3,,444.3855555555555,3004.0977777777775,4536.651296296296,10934.33111111111,54
3110,C18.,3,17.3,11174.816216216217,7909.538918918919,7073.011351351351,39246.22918918919,37
3119,C18.,3,45.4,5870.1046153846155,5205.485,4091.383846153846,23727.903461538463,26
3120,C18.,3,45.7,8911.44,7327.083913043478,7860.276086956523,36526.900434782605,69
3146,C18.,4,17.3,7514.6015217391305,6372.930869565217,9979.476086956522,46723.489347826086,46
3151,C18.,4,45.7,6658.170322580645,7926.655806451613,9069.61741935484,44631.172580645165,31
3163,C18.,5,,527.1898630136986,3419.989452054794,4406.53698630137,11845.084657534248,73
3165,C18.,5,17.3,13160.0876,8511.0051,7010.2598499999995,42349.4653,200
3178,C18.,5,45.2,954.91,4937.030298507463,2201.3835820895524,11392.589402985075,67
3179,C18.,5,45.4,6230.556744186047,6285.488139534884,7195.181162790697,29044.00186046512,43
3181,C18.,5,45.7,8891.469581151832,7923.902617801046,8491.748062827224,40007.43094240838,191
3210,C18.,6,,506.2051111111111,3792.5788888888887,3753.161955555556,11041.589555555554,225
3213,C18.,6,17.3,16248.822618296528,9712.096119873817,9367.506088328077,54039.19333596215,1268
3221,C18.,6,38.9,1187.1538095238095,4483.218730158731,6629.968888888889,16829.72476190476,63
3228,C18.,6,44.1,358.3509523809524,4677.285238095238,2782.626666666667,10434.095238095239,21
3232,C18.,6,45.2,1058.6319680851063,5816.2585106382985,3112.1271276595744,13936.613138297873,188
3234,C18.,6,45.4,5988.53012987013,5912.307207792208,3412.5714285714284,23399.20246753247,154
3236,C18.,6,45.7,13404.997519379845,11188.57688372093,11091.195875968991,54081.42500775194,645
3240,C18.,6,46.1,4852.236071428572,7020.72,6468.907857142856,28432.68892857143,28
3252,C18.,6,48.6,18312.52746031746,9493.331428571428,8896.154126984127,55941.22746031746,63
3263,C18.,6,54.2,6591.562916666667,7984.225833333333,6425.869166666667,30725.382500000003,24
3267,C18.,6,54.9,1854.6327586206896,7142.910689655173,7405.300689655172,23315.884137931036,29
3290,C18.,6,99.2,1701.7963372093025,4970.6589534883715,4856.065639534884,15775.168779069767,172
3335,C19.,6,48.6,16736.807441860463,11181.213953488372,9449.715930232558,55849.054069767444,86
3364,C20.,1,99.2,7338.7571875,2821.84375,6200.5596875,24073.8325,32
3376,C20.,3,,454.046935483871,2592.8983870967745,4771.219516129032,10576.965806451613,62
3391,C20.,3,48.6,11442.17170940171,7016.575384615384,6552.764273504274,38540.86666666667,117
3416,C20.,4,48.6,7982.500925925926,7636.293888888888,9364.46611111111,46402.46611111111,54
3424,C20.,5,,402.4941304347826,3166.075869565217,3101.951195652174,10349.558913043478,92
3435,C20.,5,45.2,565.6862068965518,4426.735862068966,1648.3518965517242,8907.61327586207,58
3438,C20.,5,46.1,2492.3714285714286,5125.386666666666,5547.9276190476185,22433.996666666666,21
3444,C20.,5,48.2,463.4140625,4377.984375,1567.6334375000001,8656.7525,32
3445,C20.,5,48.3,3561.3974999999996,3975.6920454545457,2207.8797727272727,15035.97840909091,44
3447,C20.,5,48.5,9162.023454545455,7749.351636363637,5666.061636363636,35334.264727272726,55
3448,C20.,5,48.6,12849.04717026379,8434.057769784173,7711.290263788969,43091.37741007194,417
3468,C20.,5,99.2,961.1405263157895,3309.5797368421054,4081.000789473684,10601.917894736842,38
3471,C20.,6,,579.3199588477366,4158.545390946502,3437.277119341564,11542.070864197533,243
3474,C20.,6,17.3,17993.04695652174,10124.36347826087,9712.041739130435,57481.361739130436,23
3480,C20.,6,38.9,1172.4702702702702,4297.665945945946,5947.9683783783785,16226.235270270268,74
3488,C20.,6,45.2,680.7613533834586,5700.439172932331,2011.212180451128,10795.66060150376,133
3489,C20.,6,45.4,2046.136,4975.6,3075.8435999999997,14268.6584,25
3494,C20.,6,46.1,5135.160243902439,8158.724999999999,6426.911951219513,29856.446341463416,82
3500,C20.,6,48.2,1030.8726050420169,6447.673781512605,2654.668487394958,13982.426386554622,119
3501,C20.,6,48.3,4501.135576923077,5722.125512820513,2782.615641025641,19455.657435897436,156
3503,C20.,6,48.5,14910.411953488372,9998.554697674417,9475.651395348837,52316.85674418604,215
3504,C20.,6,48.6,16528.6507549176,9752.372195640617,8431.813620414672,52852.78151515152,1881
3513,C20.,6,54.4,14774.835333333333,8946.801666666666,8405.770333333332,49478.0,30
3532,C20.,6,92.2,1501.2148387096772,9474.917096774194,4282.438387096774,38331.331612903225,31
3540,C20.,6,99.2,1005.8918587360594,4340.416505576209,4344.11531598513,12724.644832713755,269
3569,C21.,6,48.5,15230.4152,10902.3052,10428.0628,53154.4188,25
3570,C21.,6,48.6,7322.370833333333,7392.935,4746.64625,35171.440416666665,24
3576,C22.,1,,508.0012903225806,2063.0967741935483,5824.36935483871,16767.518064516127,31
3588,C22.,1,92.2,2737.206666666667,1635.4,22813.541481481483,31908.605185185184,27
3590,C22.,1,99.2,8717.65543478261,2811.041304347826,7994.800217391305,28473.575217391302,92
3600,C22.,3,,755.3866101694915,3663.7634745762716,4984.450847457627,13206.141440677966,118
