,basy_zyzd_jbbm_for_str_3,basy_yydj,basy_ssjczbm1_for_str_3,HAOCAI-3-3-E,JCJY-3-3-E,YP-3-3-E,ZFY-3-3-E,记录条数-3-3
953,B37,6,,658.5192405063292,6483.640506329114,6678.096329113924,18240.38759493671,79
956,B37,6,33.,682.7791139240506,7451.903924050634,5289.182911392405,19436.480632911393,79
972,B37,6,93.,1243.6846551724138,10441.641896551724,7865.437931034483,27600.46396551724,58
973,B37,6,96.,4826.1728571428575,22571.078285714284,21174.87,71588.03285714285,35
999,B44,6,,559.4033999999999,5502.6475,6451.2591,17539.0734,100
1002,B44,6,22.,1528.1384615384616,2163.412307692308,1139.257435897436,11268.184102564102,39
1006,B44,6,33.,840.8882035928144,6755.721616766467,7100.119221556885,20146.310538922156,167
1016,B44,6,93.,995.5998765432098,8762.45024691358,9392.12024691358,27520.452098765432,81
1017,B44,6,96.,4373.525806451613,18674.960967741936,20920.082903225804,64543.73548387097,31
1026,B45,6,03.,2452.697619047619,10970.961428571429,16384.748095238097,37312.92238095238,21
1060,B49,5,,417.0993103448276,3397.1920689655176,6411.3924137931035,15217.23448275862,29
1064,B49,5,22.,818.0180952380953,1750.3052380952383,929.8366666666667,7979.829761904762,42
1072,B49,6,,667.1658415841584,6052.345940594058,6237.4433663366335,18026.704257425743,101
1081,B49,6,22.,1354.755891089109,1930.515792079208,1173.991584158416,10883.41891089109,202
1084,B49,6,33.,1086.2224096385542,8293.86951807229,6742.301204819277,22686.675662650603,83
1101,B49,6,93.,1042.7781818181818,7776.297142857143,7629.122207792208,24608.922337662338,77
1102,B49,6,96.,6889.699310344828,24703.392068965517,37596.2724137931,99524.04206896551,29
1132,B67,6,,337.02166666666665,3482.0333333333333,2518.1341666666667,8585.8425,24
1139,B67,6,50.,20478.783076923075,9908.839692307693,13096.898307692309,66160.98723076923,65
1211,C02,6,25.,9325.751904761904,7042.229365079365,4289.937777777778,36573.33761904762,63
1223,C03,6,24.,13571.645789473683,6937.785263157895,3526.4273684210525,50264.38263157895,38
1235,C04,6,27.,16356.899599999999,7236.2807999999995,4835.02,54353.008,25
